ID,class,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color
91,e,e,e,s,s,w,w,p,w,o,p,n
92,e,e,c,s,s,w,w,p,w,o,p,k
93,e,e,c,s,s,w,w,p,w,o,p,k
94,e,e,c,s,s,w,w,p,w,o,p,k
95,e,t,e,s,s,w,w,p,w,o,e,n
96,e,e,c,s,s,w,w,p,w,o,p,n
97,e,e,r,s,y,w,w,p,w,o,p,n
98,e,e,c,s,s,w,w,p,w,o,p,k
99,e,e,c,s,s,w,w,p,w,o,p,n
100,e,e,c,s,s,w,w,p,w,o,p,k
101,e,t,e,f,s,w,w,p,w,o,e,k
102,e,e,c,s,s,w,w,p,w,o,p,k
103,e,e,r,s,y,w,w,p,w,o,p,n
104,e,e,r,s,y,w,w,p,w,o,p,k
105,e,e,c,s,s,w,w,p,w,o,p,n
106,e,e,c,s,s,w,w,p,w,o,p,k
107,e,e,r,s,y,w,w,p,w,o,p,n
108,e,e,c,s,s,w,w,p,w,o,p,k
109,e,e,c,s,s,w,w,p,w,o,p,n
110,e,e,c,s,s,w,w,p,w,o,p,k
111,e,e,c,s,s,w,w,p,w,o,p,k
112,e,e,e,s,s,w,w,p,w,o,p,k
113,e,t,b,s,s,w,w,p,w,o,p,u
114,e,e,c,s,s,w,w,p,w,o,p,k
115,p,e,e,s,s,w,w,p,w,o,p,n
116,e,e,r,s,y,w,w,p,w,o,p,n
117,e,e,e,s,s,w,w,p,w,o,p,n
118,e,e,r,s,y,w,w,p,w,o,p,k
119,e,t,b,s,s,w,w,p,w,o,p,u
120,e,e,e,s,s,w,w,p,w,o,p,n
121,p,e,e,s,s,w,w,p,w,o,p,k
122,e,e,c,s,s,w,w,p,w,o,p,n
123,p,e,e,s,s,w,w,p,w,o,p,k
124,e,t,e,s,s,w,w,p,w,o,e,n
125,e,e,c,s,s,w,w,p,w,o,p,n
126,e,t,e,s,f,w,w,p,w,o,e,k
127,e,e,c,s,s,w,w,p,w,o,p,n
128,e,t,e,s,s,w,w,p,w,o,e,n
129,e,e,c,s,s,w,w,p,w,o,p,k
130,e,e,c,s,s,w,w,p,w,o,p,n
131,e,e,c,s,s,w,w,p,w,o,p,n
132,e,e,c,s,s,w,w,p,w,o,p,n
133,e,t,b,s,s,w,w,p,w,o,p,u
134,e,e,c,s,s,w,w,p,w,o,p,k
135,e,t,b,s,s,w,w,p,w,o,p,n
136,p,e,e,s,s,w,w,p,w,o,p,n
137,e,t,b,s,s,w,w,p,w,o,p,n
138,e,e,c,s,s,w,w,p,w,o,p,n
139,p,e,e,s,s,w,w,p,w,o,p,n
140,e,e,c,s,s,w,w,p,w,o,p,n
141,e,e,r,s,y,w,w,p,w,o,p,k
142,e,e,c,s,s,w,w,p,w,o,p,k
143,e,e,e,s,s,w,w,p,w,o,p,n
144,e,e,r,s,y,w,w,p,w,o,p,k
145,e,e,c,s,s,w,w,p,w,o,p,k
146,e,t,e,f,f,w,w,p,w,o,e,k
147,e,t,e,s,f,w,w,p,w,o,e,n
148,e,e,c,s,s,w,w,p,w,o,p,n
149,e,e,c,s,s,w,w,p,w,o,p,k
150,e,e,c,s,s,w,w,p,w,o,p,k
151,e,e,c,s,s,w,w,p,w,o,p,n
152,e,t,e,f,s,w,w,p,w,o,e,n
153,e,e,c,s,s,w,w,p,w,o,p,n
154,e,e,e,s,s,w,w,p,w,o,p,k
155,e,t,b,s,s,w,w,p,w,o,p,u
156,e,e,r,s,y,w,w,p,w,o,p,k
157,e,e,c,s,s,w,w,p,w,o,p,n
158,e,e,c,s,s,w,w,p,w,o,p,n
159,e,e,c,s,s,w,w,p,w,o,p,k
160,e,e,c,s,s,w,w,p,w,o,p,k
161,e,e,c,s,s,w,w,p,w,o,p,k
162,e,e,c,s,s,w,w,p,w,o,p,k
163,e,e,e,s,s,w,w,p,w,o,p,n
164,e,e,r,s,y,w,w,p,w,o,p,n
165,e,e,c,s,s,w,w,p,w,o,p,n
166,e,e,r,s,y,w,w,p,w,o,p,n
167,e,e,c,s,s,w,w,p,w,o,p,n
168,e,e,c,s,s,w,w,p,w,o,p,k
169,e,e,r,s,y,w,w,p,w,o,p,k
170,e,e,c,s,s,w,w,p,w,o,p,k
171,e,e,e,s,s,w,w,p,w,o,p,n
172,e,e,c,s,s,w,w,p,w,o,p,n
173,e,t,b,s,s,w,w,p,w,o,p,u
174,e,e,c,s,s,w,w,p,w,o,p,k
175,e,e,r,s,y,w,w,p,w,o,p,n
176,e,e,c,s,s,w,w,p,w,o,p,k
177,e,e,c,s,s,w,w,p,w,o,p,k
178,e,e,c,s,s,w,w,p,w,o,p,n
179,e,e,c,s,s,w,w,p,w,o,p,n
180,e,e,c,s,s,w,w,p,w,o,p,n
181,p,e,e,s,s,w,w,p,w,o,p,n
182,e,e,e,s,s,w,w,p,w,o,p,n
183,e,e,e,s,s,w,w,p,w,o,p,k
184,e,e,c,s,s,w,w,p,w,o,p,n
185,e,e,r,s,y,w,w,p,w,o,p,k
186,p,e,e,s,s,w,w,p,w,o,p,k
187,e,e,c,s,s,w,w,p,w,o,p,n
188,e,e,e,s,s,w,w,p,w,o,p,k
189,e,e,c,s,s,w,w,p,w,o,p,n
190,e,e,r,s,y,w,w,p,w,o,p,n
191,e,t,e,s,f,w,w,p,w,o,e,k
192,e,t,b,s,s,w,w,p,w,o,p,n
193,e,e,c,s,s,w,w,p,w,o,p,n
194,e,t,b,s,s,w,w,p,w,o,p,n
195,e,e,c,s,s,w,w,p,w,o,p,n
196,e,e,e,s,s,w,w,p,w,o,p,n
197,e,e,c,s,s,w,w,p,w,o,p,k
198,e,e,c,s,s,w,w,p,w,o,p,n
199,e,e,c,s,s,w,w,p,w,o,p,n
200,e,t,b,s,s,w,w,p,w,o,p,n
201,e,e,c,s,s,w,w,p,w,o,p,n
202,e,e,c,s,s,w,w,p,w,o,p,k
203,e,e,c,s,s,w,w,p,w,o,p,k
204,e,t,e,f,s,w,w,p,w,o,e,k
205,e,e,r,s,y,w,w,p,w,o,p,k
206,p,e,e,s,s,w,w,p,w,o,p,n
207,e,e,c,s,s,w,w,p,w,o,p,n
208,e,e,c,s,s,w,w,p,w,o,p,k
209,e,e,c,s,s,w,w,p,w,o,p,n
210,e,e,c,s,s,w,w,p,w,o,p,k
211,e,e,c,s,s,w,w,p,w,o,p,k
212,e,e,c,s,s,w,w,p,w,o,p,k
213,e,t,b,s,s,w,w,p,w,o,p,n
214,e,e,e,s,s,w,w,p,w,o,p,n
215,e,e,r,s,y,w,w,p,w,o,p,n
216,e,e,c,s,s,w,w,p,w,o,p,k
217,e,e,c,s,s,w,w,p,w,o,p,k
218,e,e,c,s,s,w,w,p,w,o,p,k
219,e,e,c,s,s,w,w,p,w,o,p,n
220,e,e,e,s,s,w,w,p,w,o,p,n
221,e,e,c,s,s,w,w,p,w,o,p,n
222,p,e,e,s,s,w,w,p,w,o,p,k
223,e,e,r,s,y,w,w,p,w,o,p,n
224,e,t,b,s,s,w,w,p,w,o,p,n
225,e,e,c,s,s,w,w,p,w,o,p,k
226,e,e,c,s,s,w,w,p,w,o,p,k
227,e,e,c,s,s,w,w,p,w,o,p,n
228,e,e,c,s,s,w,w,p,w,o,p,n
229,p,e,e,s,s,w,w,p,w,o,p,k
230,e,e,c,s,s,w,w,p,w,o,p,n
231,e,e,e,s,s,w,w,p,w,o,p,k
232,p,e,e,s,s,w,w,p,w,o,p,k
233,e,e,r,s,y,w,w,p,w,o,p,n
234,e,e,e,s,s,w,w,p,w,o,p,k
235,e,e,c,s,s,w,w,p,w,o,p,n
236,e,t,b,s,s,w,w,p,w,o,p,n
237,e,e,c,s,s,w,w,p,w,o,p,k
238,e,e,c,s,s,w,w,p,w,o,p,n
239,e,e,r,s,y,w,w,p,w,o,p,k
240,e,e,r,s,y,w,w,p,w,o,p,k
241,e,e,r,s,y,w,w,p,w,o,p,k
242,e,e,c,s,s,w,w,p,w,o,p,k
243,e,e,c,s,s,w,w,p,w,o,p,n
244,p,e,e,s,s,w,w,p,w,o,p,k
245,e,t,b,s,s,w,w,p,w,o,p,u
246,e,e,c,s,s,w,w,p,w,o,p,n
247,e,t,b,s,s,w,w,p,w,o,p,u
248,e,e,c,s,s,w,w,p,w,o,p,k
249,e,e,r,s,y,w,w,p,w,o,p,k
250,e,t,e,f,s,w,w,p,w,o,e,k
251,e,e,r,s,y,w,w,p,w,o,p,n
252,p,e,e,s,s,w,w,p,w,o,p,n
253,e,e,e,s,s,w,w,p,w,o,p,n
254,e,e,c,s,s,w,w,p,w,o,p,n
255,e,e,c,s,s,w,w,p,w,o,p,n
256,e,e,c,s,s,w,w,p,w,o,p,n
257,e,e,e,s,s,w,w,p,w,o,p,n
258,e,e,c,s,s,w,w,p,w,o,p,k
259,e,e,c,s,s,w,w,p,w,o,p,k
260,e,e,c,s,s,w,w,p,w,o,p,n
261,e,e,r,s,y,w,w,p,w,o,p,n
262,p,e,e,s,s,w,w,p,w,o,p,k
263,e,e,c,s,s,w,w,p,w,o,p,n
264,e,e,c,s,s,w,w,p,w,o,p,n
265,e,t,b,s,s,w,w,p,w,o,p,u
266,e,e,e,s,s,w,w,p,w,o,p,k
267,e,t,e,s,s,w,w,p,w,o,e,k
268,e,e,c,s,s,w,w,p,w,o,p,n
269,e,e,c,s,s,w,w,p,w,o,p,n
270,p,e,e,s,s,w,w,p,w,o,p,k
271,e,e,c,s,s,w,w,p,w,o,p,k
272,p,e,e,s,s,w,w,p,w,o,p,k
273,e,e,c,s,s,w,w,p,w,o,p,n
274,e,e,c,s,s,w,w,p,w,o,p,n
275,e,e,r,s,y,w,w,p,w,o,p,n
276,e,e,r,s,y,w,w,p,w,o,p,n
277,e,e,r,s,y,w,w,p,w,o,p,n
278,e,e,c,s,s,w,w,p,w,o,p,n
279,e,t,e,s,s,w,w,p,w,o,e,k
280,e,e,c,s,s,w,w,p,w,o,p,n
281,p,e,e,s,s,w,w,p,w,o,p,n
282,e,e,c,s,s,w,w,p,w,o,p,n
283,e,e,e,s,s,w,w,p,w,o,p,n
284,e,e,c,s,s,w,w,p,w,o,p,k
285,e,e,c,s,s,w,w,p,w,o,p,k
286,e,e,r,s,y,w,w,p,w,o,p,k
287,e,e,c,s,s,w,w,p,w,o,p,k
288,e,e,c,s,s,w,w,p,w,o,p,k
289,e,e,r,s,y,w,w,p,w,o,p,n
290,e,e,e,s,s,w,w,p,w,o,p,n
291,e,e,e,s,s,w,w,p,w,o,p,k
292,e,e,c,s,s,w,w,p,w,o,p,k
293,e,e,c,s,s,w,w,p,w,o,p,k
294,e,e,c,s,s,w,w,p,w,o,p,n
295,e,e,c,s,s,w,w,p,w,o,p,k
296,e,e,c,s,s,w,w,p,w,o,p,n
297,e,e,c,s,s,w,w,p,w,o,p,k
298,e,t,e,f,f,w,w,p,w,o,e,k
299,e,t,b,s,s,w,w,p,w,o,p,n
300,p,e,e,s,s,w,w,p,w,o,p,k
301,e,t,e,f,s,w,w,p,w,o,e,k
302,e,e,c,s,s,w,w,p,w,o,p,k
303,e,t,b,s,s,w,w,p,w,o,p,n
304,e,e,c,s,s,w,w,p,w,o,p,k
305,e,e,c,s,s,w,w,p,w,o,p,k
306,e,t,b,s,s,g,p,p,w,o,p,n
307,e,e,c,s,s,w,w,p,w,o,p,n
308,e,e,c,s,s,w,w,p,w,o,p,n
309,e,e,r,s,y,w,w,p,w,o,p,k
310,e,t,e,s,s,w,w,p,w,o,e,n
311,e,e,c,s,s,w,w,p,w,o,p,k
312,p,e,e,s,s,w,w,p,w,o,p,n
313,e,e,c,s,s,w,w,p,w,o,p,k
314,e,t,b,s,s,w,w,p,w,o,p,n
315,e,e,c,s,s,w,w,p,w,o,p,n
316,p,e,e,s,s,w,w,p,w,o,p,k
317,e,t,b,s,s,w,w,p,w,o,p,n
318,e,e,c,s,s,w,w,p,w,o,p,k
319,e,t,b,s,s,w,w,p,w,o,p,n
320,e,t,b,s,s,w,w,p,w,o,p,n
321,e,e,c,s,s,w,w,p,w,o,p,n
322,e,t,b,s,s,w,w,p,w,o,p,u
323,e,e,c,s,s,w,w,p,w,o,p,k
324,e,e,c,s,s,w,w,p,w,o,p,k
325,e,e,r,s,y,w,w,p,w,o,p,n
326,e,e,c,s,s,w,w,p,w,o,p,k
327,e,e,c,s,s,w,w,p,w,o,p,n
328,p,e,e,s,s,w,w,p,w,o,p,n
329,e,e,c,s,s,w,w,p,w,o,p,k
330,e,e,c,s,s,w,w,p,w,o,p,k
331,p,e,e,s,s,w,w,p,w,o,p,k
332,e,e,c,s,s,w,w,p,w,o,p,k
333,e,e,c,s,s,w,w,p,w,o,p,n
334,e,e,c,s,s,w,w,p,w,o,p,k
335,e,e,c,s,s,w,w,p,w,o,p,n
336,e,t,b,s,s,p,w,p,w,o,p,k
337,e,e,r,s,y,w,w,p,w,o,p,k
338,e,e,c,s,s,w,w,p,w,o,p,n
339,e,e,e,s,s,w,w,p,w,o,p,n
340,e,e,r,s,y,w,w,p,w,o,p,k
341,e,e,c,s,s,w,w,p,w,o,p,n
342,e,e,c,s,s,w,w,p,w,o,p,k
343,e,e,c,s,s,w,w,p,w,o,p,k
344,e,t,b,s,s,w,w,p,w,o,p,n
345,e,e,c,s,s,w,w,p,w,o,p,n
346,e,t,e,s,f,w,w,p,w,o,e,n
347,e,t,b,s,s,w,w,p,w,o,p,n
348,e,e,c,s,s,w,w,p,w,o,p,n
349,e,t,e,s,f,w,w,p,w,o,e,k
350,e,e,e,s,s,w,w,p,w,o,p,n
351,e,t,e,f,f,w,w,p,w,o,e,n
352,e,e,r,s,y,w,w,p,w,o,p,n
353,e,e,c,s,s,w,w,p,w,o,p,n
354,e,e,c,s,s,w,w,p,w,o,p,k
355,e,e,r,s,y,w,w,p,w,o,p,k
356,e,e,e,s,s,w,w,p,w,o,p,n
357,e,e,r,s,y,w,w,p,w,o,p,n
358,p,e,e,s,s,w,w,p,w,o,p,k
359,e,e,r,s,y,w,w,p,w,o,p,n
360,e,e,c,s,s,w,w,p,w,o,p,n
361,e,t,e,s,f,w,w,p,w,o,e,n
362,e,t,e,f,f,w,w,p,w,o,e,k
363,e,t,e,f,s,w,w,p,w,o,e,k
364,e,e,r,s,y,w,w,p,w,o,p,n
365,e,e,c,s,s,w,w,p,w,o,p,k
366,e,e,e,s,s,w,w,p,w,o,p,k
367,e,e,r,s,y,w,w,p,w,o,p,n
368,e,t,b,s,s,w,w,p,w,o,p,u
369,e,e,c,s,s,w,w,p,w,o,p,n
370,e,t,e,s,s,w,w,p,w,o,e,k
371,e,e,r,s,y,w,w,p,w,o,p,n
372,e,e,r,s,y,w,w,p,w,o,p,k
373,e,e,c,s,s,w,w,p,w,o,p,k
374,e,e,e,s,s,w,w,p,w,o,p,n
375,e,e,c,s,s,w,w,p,w,o,p,k
376,e,e,c,s,s,w,w,p,w,o,p,k
377,e,e,e,s,s,w,w,p,w,o,p,k
378,e,e,c,s,s,w,w,p,w,o,p,n
379,e,e,c,s,s,w,w,p,w,o,p,n
380,e,e,c,s,s,w,w,p,w,o,p,n
381,p,e,e,s,s,w,w,p,w,o,p,k
382,e,t,e,f,s,w,w,p,w,o,e,n
383,e,e,c,s,s,w,w,p,w,o,p,k
384,e,e,c,s,s,w,w,p,w,o,p,n
385,e,t,b,s,s,g,w,p,w,o,p,n
386,p,e,e,s,s,w,w,p,w,o,p,n
387,e,e,r,s,y,w,w,p,w,o,p,k
388,e,t,e,s,s,w,w,p,w,o,e,k
389,e,e,c,s,s,w,w,p,w,o,p,k
390,e,e,c,s,s,w,w,p,w,o,p,n
391,e,e,c,s,s,w,w,p,w,o,p,n
392,e,e,c,s,s,w,w,p,w,o,p,k
393,e,e,c,s,s,w,w,p,w,o,p,n
394,e,e,e,s,s,w,w,p,w,o,p,n
395,e,e,r,s,y,w,w,p,w,o,p,k
396,e,t,e,f,f,w,w,p,w,o,e,n
397,e,e,c,s,s,w,w,p,w,o,p,n
398,e,e,c,s,s,w,w,p,w,o,p,n
399,e,e,e,s,s,w,w,p,w,o,p,k
400,p,e,e,s,s,w,w,p,w,o,p,n
401,e,e,c,s,s,w,w,p,w,o,p,n
402,e,e,c,s,s,w,w,p,w,o,p,k
403,p,e,e,s,s,w,w,p,w,o,p,n
404,e,e,c,s,s,w,w,p,w,o,p,n
405,e,e,c,s,s,w,w,p,w,o,p,n
406,e,e,c,s,s,w,w,p,w,o,p,k
407,e,e,c,s,s,w,w,p,w,o,p,n
408,e,e,c,s,s,w,w,p,w,o,p,n
409,e,e,c,s,s,w,w,p,w,o,p,k
410,e,e,r,s,y,w,w,p,w,o,p,n
411,e,e,c,s,s,w,w,p,w,o,p,n
412,e,t,e,f,f,w,w,p,w,o,e,k
413,e,e,r,s,y,w,w,p,w,o,p,n
414,e,e,r,s,y,w,w,p,w,o,p,k
415,p,e,e,s,s,w,w,p,w,o,p,k
416,e,e,c,s,s,w,w,p,w,o,p,n
417,e,t,b,s,s,w,w,p,w,o,p,u
418,p,e,e,s,s,w,w,p,w,o,p,k
419,e,e,c,s,s,w,w,p,w,o,p,k
420,e,t,e,f,f,w,w,p,w,o,e,n
421,e,e,c,s,s,w,w,p,w,o,p,k
422,e,e,c,s,s,w,w,p,w,o,p,n
423,p,e,e,s,s,w,w,p,w,o,p,n
424,e,e,r,s,y,w,w,p,w,o,p,k
425,e,e,c,s,s,w,w,p,w,o,p,n
426,e,t,b,s,s,w,w,p,w,o,p,n
427,e,e,r,s,y,w,w,p,w,o,p,n
428,e,e,c,s,s,w,w,p,w,o,p,n
429,e,t,e,f,f,w,w,p,w,o,e,k
430,e,e,e,s,s,w,w,p,w,o,p,n
431,e,e,c,s,s,w,w,p,w,o,p,n
432,e,e,r,s,y,w,w,p,w,o,p,n
433,e,e,c,s,s,w,w,p,w,o,p,n
434,e,e,c,s,s,w,w,p,w,o,p,k
435,e,t,b,s,s,w,w,p,w,o,p,n
436,e,e,c,s,s,w,w,p,w,o,p,k
437,e,t,b,s,s,w,w,p,w,o,p,u
438,e,e,c,s,s,w,w,p,w,o,p,n
439,e,e,c,s,s,w,w,p,w,o,p,n
440,e,e,r,s,y,w,w,p,w,o,p,n
441,e,e,c,s,s,w,w,p,w,o,p,k
442,e,e,c,s,s,w,w,p,w,o,p,k
443,e,e,r,s,y,w,w,p,w,o,p,k
444,e,e,c,s,s,w,w,p,w,o,p,k
445,e,e,c,s,s,w,w,p,w,o,p,k
446,e,e,r,s,y,w,w,p,w,o,p,k
447,e,e,c,s,s,w,w,p,w,o,p,n
448,e,e,r,s,y,w,w,p,w,o,p,k
449,e,e,c,s,s,w,w,p,w,o,p,k
450,e,t,b,s,s,g,p,p,w,o,p,n
451,e,e,c,s,s,w,w,p,w,o,p,n
452,e,e,c,s,s,w,w,p,w,o,p,k
453,e,e,c,s,s,w,w,p,w,o,p,k
454,e,t,b,s,s,w,w,p,w,o,p,n
455,e,e,c,s,s,w,w,p,w,o,p,n
456,e,t,e,s,f,w,w,p,w,o,e,k
457,e,e,c,s,s,w,w,p,w,o,p,n
458,e,e,c,s,s,w,w,p,w,o,p,k
459,e,e,r,s,y,w,w,p,w,o,p,k
460,e,e,r,s,y,w,w,p,w,o,p,n
461,e,e,c,s,s,w,w,p,w,o,p,n
462,e,e,r,s,y,w,w,p,w,o,p,n
463,e,e,c,s,s,w,w,p,w,o,p,k
464,e,e,c,s,s,w,w,p,w,o,p,n
465,e,e,e,s,s,w,w,p,w,o,p,k
466,e,e,r,s,y,w,w,p,w,o,p,n
467,e,e,c,s,s,w,w,p,w,o,p,k
468,e,e,c,s,s,w,w,p,w,o,p,k
469,e,e,c,s,s,w,w,p,w,o,p,k
470,e,e,r,s,y,w,w,p,w,o,p,n
471,e,e,c,s,s,w,w,p,w,o,p,k
472,e,e,c,s,s,w,w,p,w,o,p,k
473,e,t,b,s,s,w,w,p,w,o,p,u
474,e,e,e,s,s,w,w,p,w,o,p,k
475,e,t,b,s,s,w,w,p,w,o,p,n
476,e,e,e,s,s,w,w,p,w,o,p,k
477,e,e,e,s,s,w,w,p,w,o,p,n
478,e,e,c,s,s,w,w,p,w,o,p,n
479,e,t,b,s,s,w,w,p,w,o,p,n
480,e,e,c,s,s,w,w,p,w,o,p,k
481,e,e,c,s,s,w,w,p,w,o,p,k
482,e,e,c,s,s,w,w,p,w,o,p,k
483,e,t,b,s,s,w,w,p,w,o,p,u
484,e,e,e,s,s,w,w,p,w,o,p,k
485,e,t,b,s,s,w,w,p,w,o,p,n
486,e,e,r,s,y,w,w,p,w,o,p,k
487,e,e,c,s,s,w,w,p,w,o,p,n
488,e,e,e,s,s,w,w,p,w,o,p,n
489,e,e,r,s,y,w,w,p,w,o,p,k
490,e,e,r,s,y,w,w,p,w,o,p,k
491,e,t,b,s,s,w,w,p,w,o,p,u
492,p,e,e,s,s,w,w,p,w,o,p,n
493,p,e,e,s,s,w,w,p,w,o,p,n
494,e,e,r,s,y,w,w,p,w,o,p,n
495,e,e,r,s,y,w,w,p,w,o,p,k
496,e,e,c,s,s,w,w,p,w,o,p,n
497,e,t,e,f,s,w,w,p,w,o,e,n
498,e,e,r,s,y,w,w,p,w,o,p,n
499,e,e,c,s,s,w,w,p,w,o,p,n
500,e,e,c,s,s,w,w,p,w,o,p,k
501,e,e,c,s,s,w,w,p,w,o,p,n
502,e,e,c,s,s,w,w,p,w,o,p,k
503,e,e,c,s,s,w,w,p,w,o,p,k
504,e,e,c,s,s,w,w,p,w,o,p,k
505,e,e,c,s,s,w,w,p,w,o,p,n
506,p,e,e,s,s,w,w,p,w,o,p,n
507,e,t,e,s,s,w,w,p,w,o,e,n
508,e,t,e,f,s,w,w,p,w,o,e,n
509,e,t,b,s,s,w,w,p,w,o,p,n
510,e,e,e,s,s,w,w,p,w,o,p,n
511,e,e,e,s,s,w,w,p,w,o,p,n
512,e,e,c,s,s,w,w,p,w,o,p,k
513,e,t,b,s,s,w,w,p,w,o,p,u
514,e,e,e,s,s,w,w,p,w,o,p,n
515,e,e,e,s,s,w,w,p,w,o,p,n
516,e,t,e,f,s,w,w,p,w,o,e,n
517,e,e,r,s,y,w,w,p,w,o,p,k
518,e,e,c,s,s,w,w,p,w,o,p,k
519,e,e,c,s,s,w,w,p,w,o,p,k
520,e,e,c,s,s,w,w,p,w,o,p,n
521,e,e,c,s,s,w,w,p,w,o,p,k
522,e,e,c,s,s,w,w,p,w,o,p,k
523,e,e,r,s,y,w,w,p,w,o,p,n
524,p,e,e,s,s,w,w,p,w,o,p,n
525,e,e,e,s,s,w,w,p,w,o,p,k
526,e,e,c,s,s,w,w,p,w,o,p,n
527,e,e,r,s,y,w,w,p,w,o,p,n
528,e,e,c,s,s,w,w,p,w,o,p,n
529,e,e,e,s,s,w,w,p,w,o,p,k
530,e,e,r,s,y,w,w,p,w,o,p,n
531,e,e,r,s,y,w,w,p,w,o,p,n
